id,month,year,tkn_mg_l,tot_precip
Big_Otter_Ck,June,2005,0.9066667,61.825
Big_Otter_Ck,June,2006,0.5466667,68
Big_Otter_Ck,June,2007,0.685,55.55
Big_Otter_Ck,June,2008,0.78,120.9
Big_Otter_Ck,June,2009,0.8433333,90.3
Big_Otter_Ck,June,2010,0.85,147.65
Big_Otter_Ck,June,2011,0.73333335,103.425
Big_Otter_Ck,May,1979,0.54,92.325
Big_Otter_Ck,May,1980,1.1666666,63.675
Big_Otter_Ck,May,1981,0.70666665,81.475
Big_Otter_Ck,May,1982,0.75666666,48.65
Big_Otter_Ck,May,1983,0.7866667,131.175
Big_Otter_Ck,May,1984,0.71666664,102.275
Big_Otter_Ck,May,1986,1.4666667,93.5
Big_Otter_Ck,May,1987,0.5733333,61.125
Big_Otter_Ck,May,1989,0.73333335,92.275
Big_Otter_Ck,May,1990,1.6133333,86.675
Big_Otter_Ck,May,1991,0.7133333,102.425
Big_Otter_Ck,May,1992,0.63,61.025
Big_Otter_Ck,May,1993,0.6566667,62.375
Big_Otter_Ck,May,1994,0.72,72.525
Big_Otter_Ck,May,1995,0.515,95.6
Big_Otter_Ck,May,2003,0.74,132.45
Big_Otter_Ck,May,2004,1.7566667,137.375
Big_Otter_Ck,May,2005,0.64666665,28.35
Big_Otter_Ck,May,2008,0.7,90.525
Big_Otter_Ck,May,2009,0.6766667,68.9
